kode,pemda,geo,lat,lon,2018,2022
999915,Kab. Muna Barat,MultiPolygon,"-4,7474054","122,438893",0.3696307866260257,0.3969525578046084
999017,Kab. Buton Selatan,MultiPolygon,"-5,716067449","122,6433225",0.3163394997336649,0.3221091345584755
999016,Kab. Buton Tengah,MultiPolygon,"-5,351074374","122,388436",0.3163394997336649,0.32203191583806834
999015,Kab. Musi Rawas Utara,Polygon,"-2,875623248","102,6870295",0.3572822154651991,0.3573378314393943
999014,Kab. Konawe Kepulauan,MultiPolygon,"-4,127632468","123,0361411",0.3172924558080806,0.32328752614030887
999013,Kab. Morowali Utara,MultiPolygon,"-1,87541922","121,4573738",0.3054015003551141,0.3054625971630365
999012,Kab. Kolaka Timur,Polygon,"-3,973702574","121,6713583",0.3211408333826551,0.3252522601503318
999011,Kab. Penukal Abab Lematang Ilir,Polygon,"-3,242336088","104,1084123",0.4624247602982959,0.48790314028961496
999010,Kab. Pulau Taliabu,MultiPolygon,"-1,810123146","124,6857048",0.3045480007595486,0.3045480007595486
999009,Kab. Banggai Laut,MultiPolygon,"-1,863089894","123,5318777",0.3321838810467966,0.3364637031940495
999008,Kab. Mamuju Tengah,MultiPolygon,"-2,086827318","119,3958138",0.3120919214113793,0.3191759390782829
999007,Kab. Malaka,Polygon,"-9,466933866","124,8808787",0.3045463115037093,0.3045757378472222
999006,Kab. Mahakam Ulu,Polygon,"1,037745555","114,9655331",0.325917722143308,0.32739529079861096
999005,Kab. Pegunungan Arfak,Polygon,"-1,213153855","133,7374535",0.3199395566998106,0.32009649103338045
999004,Kab. Manokwari Selatan,Polygon,"-1,521315589","134,0194899",0.3377481664792451,0.3451163798630834
999003,Kab. Pesisir Barat,MultiPolygon,"-5,319857381","104,0661182",0.3376406829525723,0.35259298305318826
999002,Kab. Pangandaran,MultiPolygon,"-7,711819901","108,5640556",0.5483984929865059,0.597649098405934
998510,Kab. Manggarai Barat,MultiPolygon,"-8,595953416","119,8046255",0.3065254535097066,0.3062756902521308
998503,Kab. Mukomuko,Polygon,"-2,733013653","101,3538934",0.3420641103416981,0.34891333994239215
998498,Kab. Teluk Wondama,MultiPolygon,"-2,367405531","134,3243462",0.3314064164595172,0.33200858684501244
998481,Kab. Teluk Bintuni,MultiPolygon,"-2,366674315","133,6496509",0.3574518315479008,0.35746676358309665
998477,Kab. Yahukimo,Polygon,"-4,494784392","139,4961312",0.3474544394136682,0.3482539691347065
998460,Kab. Waropen,MultiPolygon,"-2,576643505","136,8404339",0.3111205623125788,0.3121250406901043
998456,Kab. Raja Ampat,MultiPolygon,"-0,988080712","130,4374933",0.3055976574830326,0.3058913722182757
