Pemda,bansos,modal,bankeu,Penindakan,TingkatPenindakan,Risiko
Provinsi Bali,-0.972877986,10.25417677,13.46306286,8,rendah,sedang
Provinsi Jawa Barat,2.102830799,3.931093817,2.557225273,132,tinggi,tinggi
Provinsi Jawa Tengah,-0.812292199,3.866529875,16.52673153,59,tinggi,tinggi
Provinsi Jawa Timur,-0.892008166,2.997745598,124.3630939,123,tinggi,tinggi
Provinsi Kalimantan Barat,-0.950994366,12.22712715,0.827917838,10,sedang,sedang
Provinsi Kalimantan Timur,-0.946697102,1.903793156,-0.0618292,38,sedang,sedang
Provinsi Lampung,-0.949124646,6.085061171,-0.313567853,36,sedang,sedang
Provinsi Maluku,-0.97304418,4.83600417,6.302966368,13,sedang,sedang
Provinsi Maluku Utara,-0.96328868,19.55287344,6.271933971,2,rendah,rendah
Provinsi Nusa Tenggara Barat,-0.824939145,9.638146497,-0.946800621,12,sedang,sedang
Provinsi Nusa Tenggara Timur,-0.691458637,11.72240066,-0.867546429,5,rendah,sedang
Provinsi Papua,-0.795441406,1.80393925,-0.089156969,30,sedang,sedang
Provinsi Riau,-0.869618881,-0.007217358,9.006254437,69,tinggi,tinggi
Provinsi Sulawesi Selatan,-0.99796017,5.43903878,0.11623898,10,sedang,sedang
Provinsi Sulawesi Tenggara,-0.804321669,15.48785252,0.118873172,16,sedang,rendah
Provinsi Sumatera Selatan,-0.997853817,5.478323287,17.79729103,56,tinggi,sedang
Provinsi Sumatera Utara,-0.845775868,2.71006604,-0.961682433,84,tinggi,sedang
