city,city_ascii,lat,lon
Jakarta,Jakarta,-6.175,106.8275
Surabaya,Surabaya,-7.2458,112.7378
Medan,Medan,3.5894,98.6739
Malang,Malang,-7.98,112.62
Bekasi,Bekasi,-6.2349,106.9923
Depok,Depok,-6.394,106.8225
Tangerang,Tangerang,-6.1783,106.6319
Denpasar,Denpasar,-8.65,115.2167
Sangereng,Sangereng,-6.2889,106.7181
Semarang,Semarang,-6.9667,110.4167
Palembang,Palembang,-2.9861,104.7556
Makassar,Makassar,-5.1619,119.4362
Jepara,Jepara,-6.5333,110.6667
Sumedang,Sumedang,-6.84,107.9208
Bagam,Bagam,1.0833,104.0333
Cilacap,Cilacap,-7.7167,109.017
Bandar Lampung,Bandar Lampung,-5.45,105.2667
Bogor,Bogor,-6.5966,106.7972
Pekanbaru,Pekanbaru,0.5092,101.4453
Padang,Padang,-0.95,100.3531
Samarinda,Samarinda,-0.5,117.1378
Banjarmasin,Banjarmasin,-3.32,114.5925
Tasikmalaya,Tasikmalaya,-7.3161,108.1975
Pontianak,Pontianak,-0.0206,109.3414
Serang,Serang,-6.12,106.1503
Jambi,Jambi,-1.59,103.61
Cimahi,Cimahi,-6.8712,107.5548
Balikpapan,Balikpapan,-1.2768,116.8277
Surakarta,Surakarta,-7.5667,110.8167
Lembok,Lembok,-8.565,116.351
Manado,Manado,1.4931,124.8413
Bandung,Bandung,-6.912,107.6097
Kupang,Kupang,-10.1702,123.6077
Yogyakarta,Yogyakarta,-7.8014,110.3644
Mataram,Mataram,-8.5833,116.1167
Jayapura,Jayapura,-2.533,140.717
Cilegon,Cilegon,-6.0027,106.0112
Ambon,Ambon,-3.7,128.1667
Cibinong,Cibinong,-6.485,106.842
Bengkulu,Bengkulu,-3.7956,102.2592
Palu,Palu,-0.895,119.8594
Cimanggis,Cimanggis,-6.3645,106.8591
Kendari,Kendari,-3.9907,122.5086
Sukabumi,Sukabumi,-6.9181,106.9315
Cirebon,Cirebon,-6.7071,108.5574
Karawang,Karawang,-6.3125,107.295
Pekalongan,Pekalongan,-6.8833,109.6667
Pondokaren,Pondokaren,-6.2811,106.7019
Jember,Jember,-8.1727,113.6873
Pasarkemis,Pasarkemis,-6.1703,106.53
Tegal,Tegal,-6.8667,109.1333
Pematangsiantar,Pematangsiantar,2.96,99.06
Mamuju,Mamuju,-2.6833,118.9
Majene,Majene,-3.5403,118.9707
Sorong,Sorong,-0.8667,131.25
Binjai,Binjai,3.5986,98.4803
Dumai,Dumai,1.6667,101.45
Kediri,Kediri,-7.8111,112.0047
Palangkaraya,Palangkaraya,-2.21,113.92
Banda Aceh,Banda Aceh,5.55,95.3175
Beji,Beji,-6.3704,106.8176
Singaraja,Singaraja,-8.1167,115.0833
Purwokerto,Purwokerto,-7.4278,109.2417
Singkawang,Singkawang,0.9,108.9833
Probolinggo,Probolinggo,-7.75,113.2167
Cikupa,Cikupa,-6.4947,106.6511
Padangsidempuan,Padangsidempuan,1.3786,99.2722
Pangkalpinang,Pangkalpinang,-2.1333,106.1167
Ciputat,Ciputat,-6.3111,106.7619
Bitung,Bitung,1.4472,125.1978
Banjarbaru,Banjarbaru,-3.4425,114.8325
Madiun,Madiun,-7.63,111.5231
Lubuklinggau,Lubuklinggau,-3.2967,102.8617
Ternate,Ternate,0.78,127.3819
Banjar,Banjar,-7.3667,108.5333
Tanjungpinang,Tanjungpinang,0.9188,104.4554
Tarakan,Tarakan,3.3,117.6333
Martapura,Martapura,-3.45,114.8333
Gorontalo,Gorontalo,0.5333,123.0667
Pasuruan,Pasuruan,-7.6406,112.9065
Batu,Batu,-7.872,112.525
Prabumulih,Prabumulih,-3.4328,104.2356
