kode;pemda;geo;lat;lon
999915;Kab. Muna Barat;MultiPolygon;-4,7474054;122,438893
999017;Kab. Buton Selatan;MultiPolygon;-5,716067449;122,6433225
999016;Kab. Buton Tengah;MultiPolygon;-5,351074374;122,388436
999015;Kab. Musi Rawas Utara;Polygon;-2,875623248;102,6870295
999014;Kab. Konawe Kepulauan;MultiPolygon;-4,127632468;123,0361411
999013;Kab. Morowali Utara;MultiPolygon;-1,87541922;121,4573738
999012;Kab. Kolaka Timur;Polygon;-3,973702574;121,6713583
999011;Kab. Penukal Abab Lematang Ilir;Polygon;-3,242336088;104,1084123
999010;Kab. Pulau Taliabu;MultiPolygon;-1,810123146;124,6857048
999009;Kab. Banggai Laut;MultiPolygon;-1,863089894;123,5318777
999008;Kab. Mamuju Tengah;MultiPolygon;-2,086827318;119,3958138
999007;Kab. Malaka;Polygon;-9,466933866;124,8808787
999006;Kab. Mahakam Ulu;Polygon;1,037745555;114,9655331
999005;Kab. Pegunungan Arfak;Polygon;-1,213153855;133,7374535
999004;Kab. Manokwari Selatan;Polygon;-1,521315589;134,0194899
999003;Kab. Pesisir Barat;MultiPolygon;-5,319857381;104,0661182
999002;Kab. Pangandaran;MultiPolygon;-7,711819901;108,5640556
998510;Kab. Manggarai Barat;MultiPolygon;-8,595953416;119,8046255
998503;Kab. Mukomuko;Polygon;-2,733013653;101,3538934
998498;Kab. Teluk Wondama;MultiPolygon;-2,367405531;134,3243462
998481;Kab. Teluk Bintuni;MultiPolygon;-2,366674315;133,6496509
998477;Kab. Yahukimo;Polygon;-4,494784392;139,4961312
998460;Kab. Waropen;MultiPolygon;-2,576643505;136,8404339
998456;Kab. Raja Ampat;MultiPolygon;-0,988080712;130,4374933
998442;Kab. Sorong Selatan;MultiPolygon;-1,426864399;132,0679098
998435;Kab. Kaimana;MultiPolygon;-3,725189411;134,0853101
998421;Kab. Pegunungan Bintang;Polygon;-4,564479226;140,4691795
998414;Kab. Tolikara;Polygon;-3,340693318;138,2701749
998400;Kab. Keerom;Polygon;-3,212450487;140,5417469
998392;Kab. Sarmi;MultiPolygon;-2,597246974;139,2194016
998388;Kab. Boven Digoel;Polygon;-6,006888367;140,2219545
998371;Kab. Asmat;MultiPolygon;-5,337754854;138,5515789
