kode,pemda,zoom,lat,lon
999900,All,4.59,2.5090,116.8572
999901,Kota Jakarta Selatan,11,-6.300641,106.814095
999902,Kota Jakarta Timur,11,-6.2749,106.9375
999903,Kota Jakarta Utara,11,-6.0668,106.8316
999904,Kota Jakarta Barat,11,-6.2083,106.7106
999905,Kota Jakarta Pusat,12,-6.1900,106.8224
999911,Provinsi Aceh,8,4.695135,96.7493993
999912,Provinsi Sumatera Utara,8,2.1153547,99.5450974
999913,Provinsi Sumatera Barat,8,-0.7399397,100.8000051
999914,Provinsi Riau,8,0.2933469,101.7068294
999915,Provinsi Jambi,8,-1.4851831,102.4380581
999916,Provinsi Sumatera Selatan,8,-3.3194374,103.914399
999917,Provinsi Bengkulu,8,-3.5778471,102.3463875
999918,Provinsi Lampung,8,-4.5585849,105.4068079
999919,Provinsi Kepulauan Bangka Belitung,8,-2.7410513,106.4405872
999921,Provinsi Kepulauan Riau,8,3.9456514,108.1428669
999931,Provinsi DKI Jakarta,8,-6.211544,106.845172
999932,Provinsi Jawa Barat,8,-7.090911,107.668887
999933,Provinsi Jawa Tengah,8,-7.150975,110.1402594
999934,Provinsi DI Yogyakarta,8,-7.8753849,110.4262088
999935,Provinsi Jawa Timur,8,-7.5360639,112.2384017
999936,Provinsi Banten,8,-6.4058172,106.0640179
999951,Provinsi Bali,8,-8.4095178,115.188916
999952,Provinsi Nusa Tenggara Barat,8,-8.6529334,117.3616476
999953,Provinsi Nusa Tenggara Timur,8,-8.6573819,121.0793705
999961,Provinsi Kalimantan Barat,8,-0.2787808,111.4752851
999962,Provinsi Kalimantan Tengah,8,-1.6814878,113.3823545
999963,Provinsi Kalimantan Selatan,8,-3.0926415,115.2837585
999964,Provinsi Kalimantan Timur,8,1.6406296,116.419389
999971,Provinsi Sulawesi Utara,8,0.6246932,123.9750018
999972,Provinsi Sulawesi Tengah,8,-1.4300254,121.4456179
999973,Provinsi Sulawesi Selatan,8,-3.6687994,119.9740534
999974,Provinsi Sulawesi Tenggara,8,-4.14491,122.174605
999975,Provinsi Gorontalo,8,0.6999372,122.4467238
999976,Provinsi Sulawesi Barat,8,-2.8441371,119.2320784
999981,Provinsi Maluku,8,-3.2384616,130.1452734
999982,Provinsi Maluku Utara,8,1.5709993,127.8087693
999991,Provinsi Papua Barat,8,-1.3361154,133.1747162
999994,Provinsi Papua,8,-4.269928,138.0803529
