kode,pemda,zoom,lat,lon,2018,2022
999900,All,4.59,2.509,116.8572,0.32170225817747833,0.32423591382575745
999901,Kota Jakarta Selatan,11.0,-6.300641,106.814095,0.6511357594499684,0.6552999415542138
999902,Kota Jakarta Timur,11.0,-6.2749,106.9375,0.6530850373855742,0.6591839044744316
999903,Kota Jakarta Utara,11.0,-6.0668,106.8316,0.4817331148398044,0.4818266897490529
999904,Kota Jakarta Barat,11.0,-6.2083,106.7106,0.656729286270912,0.6586239901455962
999905,Kota Jakarta Pusat,12.0,-6.19,106.8224,0.7025875330452964,0.692417762833412
999911,Provinsi Aceh,8.0,4.695135,96.7493993,0.35263408005839675,0.35639130563446936
999912,Provinsi Sumatera Utara,8.0,2.1153547,99.5450974,0.36550776934382834,0.3737538717250633
999913,Provinsi Sumatera Barat,8.0,-0.7399397,100.8000051,0.3651025390624994,0.37531946663904664
999914,Provinsi Riau,8.0,0.2933469,101.7068294,0.3957285008285982,0.40728504527698906
999915,Provinsi Jambi,8.0,-1.4851831,102.4380581,0.3854810618390943,0.39388041178385486
999916,Provinsi Sumatera Selatan,8.0,-3.3194374,103.914399,0.42647113838581086,0.4542650504064077
999917,Provinsi Bengkulu,8.0,-3.5778471,102.3463875,0.3489615145596588,0.3604177579012781
999918,Provinsi Lampung,8.0,-4.5585849,105.4068079,0.40986249210858605,0.4260670979817712
999919,Provinsi Kepulauan Bangka Belitung,8.0,-2.7410513,106.4405872,0.32364193078243353,0.3271688257082542
999921,Provinsi Kepulauan Riau,8.0,3.9456514,108.1428669,0.3033819395123101,0.30366612289891026
999931,Provinsi DKI Jakarta,8.0,-6.211544,106.845172,0.44078658286971234,0.446157023111979
999932,Provinsi Jawa Barat,8.0,-7.090911,107.668887,0.46464322793363294,0.4765421364524143
999933,Provinsi Jawa Tengah,8.0,-7.150975,110.1402594,0.4703026850536621,0.4834311067215115
999934,Provinsi DI Yogyakarta,8.0,-7.8753849,110.4262088,0.4450024599017522,0.460840398615057
999935,Provinsi Jawa Timur,8.0,-7.5360639,112.2384017,0.49256205857402147,0.5064724022451073
999936,Provinsi Banten,8.0,-6.4058172,106.0640179,0.4052817419803503,0.41067775533656853
999951,Provinsi Bali,8.0,-8.4095178,115.188916,0.3478582455413508,0.35487122815064676
999952,Provinsi Nusa Tenggara Barat,8.0,-8.6529334,117.3616476,0.33019144077493684,0.3346209778448542
999953,Provinsi Nusa Tenggara Timur,8.0,-8.6573819,121.0793705,0.3132309175741791,0.31493378610321965
999961,Provinsi Kalimantan Barat,8.0,-0.2787808,111.4752851,0.35200454866043196,0.3559366985282509
999962,Provinsi Kalimantan Tengah,8.0,-1.6814878,113.3823545,0.3580489403310447,0.3611974481139522
999963,Provinsi Kalimantan Selatan,8.0,-3.0926415,115.2837585,0.3693750739820071,0.3812319977114894
999964,Provinsi Kalimantan Timur,8.0,1.6406296,116.419389,0.3508331113873104,0.35315091836331985
999971,Provinsi Sulawesi Utara,8.0,0.6246932,123.9750018,0.3235933492641257,0.326000397036774
999972,Provinsi Sulawesi Tengah,8.0,-1.4300254,121.4456179,0.32798561173255997,0.3318849074238481
999973,Provinsi Sulawesi Selatan,8.0,-3.6687994,119.9740534,0.33594701901830804,0.3478540285669195
999974,Provinsi Sulawesi Tenggara,8.0,-4.14491,122.174605,0.3299802529691444,0.341492112284959
999975,Provinsi Gorontalo,8.0,0.6999372,122.4467238,0.31966696999289723,0.32333543565538186
999976,Provinsi Sulawesi Barat,8.0,-2.8441371,119.2320784,0.33013132422861435,0.33835380785392943
999981,Provinsi Maluku,8.0,-3.2384616,130.1452734,0.3118886620107327,0.312130256421638
999982,Provinsi Maluku Utara,8.0,1.5709993,127.8087693,0.3156515410452168,0.31738624649818425
999991,Provinsi Papua Barat,8.0,-1.3361154,133.1747162,0.3359370314472847,0.33718375774345044
999994,Provinsi Papua,8.0,-4.269928,138.0803529,0.3306021765506624,0.33042709196456765
