NO,PROVINSI,Tahun,Jumlah Penindakan
2,Provinsi Aceh,2004,1
2,Provinsi Aceh,2005,1
2,Provinsi Aceh,2008,1
2,Provinsi Aceh,2013,2
2,Provinsi Aceh,2015,1
2,Provinsi Aceh,2018,8
3,Provinsi Sumatera Utara,2007,2
3,Provinsi Sumatera Utara,2010,2
3,Provinsi Sumatera Utara,2011,1
3,Provinsi Sumatera Utara,2013,3
3,Provinsi Sumatera Utara,2014,3
3,Provinsi Sumatera Utara,2015,15
3,Provinsi Sumatera Utara,2016,7
3,Provinsi Sumatera Utara,2017,5
3,Provinsi Sumatera Utara,2018,22
3,Provinsi Sumatera Utara,2019,4
3,Provinsi Sumatera Utara,2020,9
3,Provinsi Sumatera Utara,2021,5
3,Provinsi Sumatera Utara,2022,6
4,Provinsi Sumatera Selatan,2009,1
4,Provinsi Sumatera Selatan,2010,1
4,Provinsi Sumatera Selatan,2014,2
4,Provinsi Sumatera Selatan,2015,5
4,Provinsi Sumatera Selatan,2016,7
4,Provinsi Sumatera Selatan,2017,1
4,Provinsi Sumatera Selatan,2018,1
4,Provinsi Sumatera Selatan,2019,4
4,Provinsi Sumatera Selatan,2020,3
4,Provinsi Sumatera Selatan,2021,30
4,Provinsi Sumatera Selatan,2022,1
5,Provinsi Sumatera Barat,2016,1
5,Provinsi Sumatera Barat,2019,2
6,Provinsi Jambi,2017,4
6,Provinsi Jambi,2018,8
6,Provinsi Jambi,2019,2
6,Provinsi Jambi,2020,2
6,Provinsi Jambi,2021,2
6,Provinsi Jambi,2022,6
7,Provinsi Kepulauan Riau,2021,2
8,Provinsi Riau,2007,3
8,Provinsi Riau,2008,4
8,Provinsi Riau,2009,3
8,Provinsi Riau,2012,13
8,Provinsi Riau,2013,3
8,Provinsi Riau,2014,3
8,Provinsi Riau,2015,3
8,Provinsi Riau,2016,1
8,Provinsi Riau,2017,4
8,Provinsi Riau,2018,3
8,Provinsi Riau,2019,11
8,Provinsi Riau,2020,13
8,Provinsi Riau,2021,2
8,Provinsi Riau,2022,3
9,Provinsi Bengkulu,2011,1
9,Provinsi Bengkulu,2012,2
9,Provinsi Bengkulu,2013,4
9,Provinsi Bengkulu,2016,3
9,Provinsi Bengkulu,2017,7
9,Provinsi Bengkulu,2018,5
11,Provinsi DKI Jakarta,2005,1
11,Provinsi DKI Jakarta,2006,3
11,Provinsi DKI Jakarta,2008,1
11,Provinsi DKI Jakarta,2009,1
11,Provinsi DKI Jakarta,2010,4
11,Provinsi DKI Jakarta,2011,5
11,Provinsi DKI Jakarta,2012,2
11,Provinsi DKI Jakarta,2013,11
11,Provinsi DKI Jakarta,2016,21
11,Provinsi DKI Jakarta,2017,5
